category,name,url,remote_testing,adaptive_irt,test_type,page_number,source
Pre-packaged Job Solutions,Network Engineer/Analyst Solution,https://www.shl.com/products/product-catalog/view/network-engineeranalyst-solution/,,,"P
S
K
B
A",7,SHL Catalog
Pre-packaged Job Solutions,Nurse Leader Solution,https://www.shl.com/products/product-catalog/view/nurse-leader-solution/,,,"S
A
B
P",7,SHL Catalog
Pre-packaged Job Solutions,Nurse Solution,https://www.shl.com/products/product-catalog/view/nurse-solution/,,,"P
A
B",7,SHL Catalog
Pre-packaged Job Solutions,Nursing Assistant Solution,https://www.shl.com/products/product-catalog/view/nursing-assistant-solution/,,,"A
B
P",8,SHL Catalog
Pre-packaged Job Solutions,Personal Banker - Short Form,https://www.shl.com/products/product-catalog/view/personal-banker-short-form/,,,"A
B
K
P
S",8,SHL Catalog
Pre-packaged Job Solutions,Phone Banker - Short Form,https://www.shl.com/products/product-catalog/view/phone-banker-short-form/,,,"A
B
P",8,SHL Catalog
Pre-packaged Job Solutions,Prep/Line Cook Solution,https://www.shl.com/products/product-catalog/view/prepline-cook-solution/,,,"A
B
P",8,SHL Catalog
Pre-packaged Job Solutions,Professional + 7.0 Solution,https://www.shl.com/products/product-catalog/view/professional-7-0-solution-3958/,,,"A
B
C",8,SHL Catalog
Pre-packaged Job Solutions,Professional + 7.1 (Americas),https://www.shl.com/products/product-catalog/view/professional-7-1-%28americas%29/,,,"B
C
P",8,SHL Catalog
Pre-packaged Job Solutions,Professional + 7.1 (International),https://www.shl.com/products/product-catalog/view/professional-7-1-solution/,,,"B
C
P",8,SHL Catalog
Pre-packaged Job Solutions,Professional 7.0 Solution,https://www.shl.com/products/product-catalog/view/professional-7-0-solution/,,,"B
C",8,SHL Catalog
Pre-packaged Job Solutions,Professional 7.1 (International),https://www.shl.com/products/product-catalog/view/professional-7-1-solution-4247/,,,"C
B",8,SHL Catalog
Pre-packaged Job Solutions,Professional 8.0 JFA,https://www.shl.com/products/product-catalog/view/professional-8-0-jfa/,,,"B
K
P",8,SHL Catalog
Pre-packaged Job Solutions,Professional/Individual Contributor - Short Form,https://www.shl.com/products/product-catalog/view/professionalindividual-contributor-short-form/,,,"A
B
P
S",8,SHL Catalog
Pre-packaged Job Solutions,Project Manager - Short Form,https://www.shl.com/products/product-catalog/view/project-manager-short-form/,,,"A
B
P
S",8,SHL Catalog
Pre-packaged Job Solutions,Proof Operator - Processing Specialist -Short Form,https://www.shl.com/products/product-catalog/view/proof-operator-processing-specialist-short-form/,,,S,9,SHL Catalog
Pre-packaged Job Solutions,Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/reservation-agent-solution/,,,"A
P
S
B",9,SHL Catalog
Pre-packaged Job Solutions,Restaurant Manager Solution,https://www.shl.com/products/product-catalog/view/restaurant-manager-solution/,,,"A
B
P
S",9,SHL Catalog
Pre-packaged Job Solutions,Restaurant Supervisor Solution,https://www.shl.com/products/product-catalog/view/restaurant-supervisor-solution/,,,"A
B
P",9,SHL Catalog
Pre-packaged Job Solutions,Retail Consultant Solution,https://www.shl.com/products/product-catalog/view/retail-consultant-solution/,,,"A
B
P",9,SHL Catalog
Pre-packaged Job Solutions,Retail Manager w/ Sales Solution,https://www.shl.com/products/product-catalog/view/retail-manager-w-sales-solution/,,,"A
B
P",9,SHL Catalog
Pre-packaged Job Solutions,Retail Sales Associate Solution,https://www.shl.com/products/product-catalog/view/retail-sales-associate-solution/,,,"A
B
P",9,SHL Catalog
Pre-packaged Job Solutions,Sales Director Solution,https://www.shl.com/products/product-catalog/view/sales-director-solution/,,,"A
B
P",9,SHL Catalog
Pre-packaged Job Solutions,Sales Engineer Solution,https://www.shl.com/products/product-catalog/view/sales-engineer-solution/,,,"A
B
K
P
S",9,SHL Catalog
Pre-packaged Job Solutions,Sales Manager Solution,https://www.shl.com/products/product-catalog/view/sales-manager-solution/,,,"A
B
P",9,SHL Catalog
Pre-packaged Job Solutions,Sales Professional 7.0 Solution,https://www.shl.com/products/product-catalog/view/sales-professional-7-0-solution/,,,"C
B",9,SHL Catalog
Pre-packaged Job Solutions,Sales Professional 7.1 (Americas),https://www.shl.com/products/product-catalog/view/sales-professional-7-1-%28americas%29/,,,"B
C",9,SHL Catalog
Pre-packaged Job Solutions,Proof Operator - Processing Specialist -Short Form,https://www.shl.com/products/product-catalog/view/proof-operator-processing-specialist-short-form/,,,S,10,SHL Catalog
Pre-packaged Job Solutions,Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/reservation-agent-solution/,,,"A
P
S
B",10,SHL Catalog
Pre-packaged Job Solutions,Restaurant Manager Solution,https://www.shl.com/products/product-catalog/view/restaurant-manager-solution/,,,"A
B
P
S",10,SHL Catalog
Pre-packaged Job Solutions,Restaurant Supervisor Solution,https://www.shl.com/products/product-catalog/view/restaurant-supervisor-solution/,,,"A
B
P",10,SHL Catalog
Pre-packaged Job Solutions,Retail Consultant Solution,https://www.shl.com/products/product-catalog/view/retail-consultant-solution/,,,"A
B
P",10,SHL Catalog
Pre-packaged Job Solutions,Retail Manager w/ Sales Solution,https://www.shl.com/products/product-catalog/view/retail-manager-w-sales-solution/,,,"A
B
P",10,SHL Catalog
Pre-packaged Job Solutions,Retail Sales Associate Solution,https://www.shl.com/products/product-catalog/view/retail-sales-associate-solution/,,,"A
B
P",10,SHL Catalog
Pre-packaged Job Solutions,Sales Director Solution,https://www.shl.com/products/product-catalog/view/sales-director-solution/,,,"A
B
P",10,SHL Catalog
Pre-packaged Job Solutions,Sales Engineer Solution,https://www.shl.com/products/product-catalog/view/sales-engineer-solution/,,,"A
B
K
P
S",10,SHL Catalog
Pre-packaged Job Solutions,Sales Manager Solution,https://www.shl.com/products/product-catalog/view/sales-manager-solution/,,,"A
B
P",10,SHL Catalog
Pre-packaged Job Solutions,Sales Professional 7.0 Solution,https://www.shl.com/products/product-catalog/view/sales-professional-7-0-solution/,,,"C
B",10,SHL Catalog
Pre-packaged Job Solutions,Sales Professional 7.1 (Americas),https://www.shl.com/products/product-catalog/view/sales-professional-7-1-%28americas%29/,,,"B
C",10,SHL Catalog
Pre-packaged Job Solutions,Sales Professional Solution,https://www.shl.com/products/product-catalog/view/sales-professional-solution/,,,"A
B
P",11,SHL Catalog
Pre-packaged Job Solutions,Sales Representative Solution,https://www.shl.com/products/product-catalog/view/sales-representative-solution/,,,"A
B
P",11,SHL Catalog
Pre-packaged Job Solutions,Sales Supervisor Solution,https://www.shl.com/products/product-catalog/view/sales-supervisor-solution/,,,"A
B
P",11,SHL Catalog
Pre-packaged Job Solutions,Sales Support Specialist Solution,https://www.shl.com/products/product-catalog/view/sales-support-specialist-solution/,,,"A
B
P",11,SHL Catalog
Pre-packaged Job Solutions,Senior Insurance Agent Solution,https://www.shl.com/products/product-catalog/view/senior-insurance-agent-solution/,,,"A
B
P",11,SHL Catalog
Pre-packaged Job Solutions,Senior Sales Professional Solution,https://www.shl.com/products/product-catalog/view/senior-sales-professional-solution/,,,"A
B
P",11,SHL Catalog
Pre-packaged Job Solutions,Server Solution,https://www.shl.com/products/product-catalog/view/server-solution/,,,"B
A
P",11,SHL Catalog
Pre-packaged Job Solutions,Service Associate Solution,https://www.shl.com/products/product-catalog/view/service-associate-solution/,,,"A
B
P",11,SHL Catalog
Pre-packaged Job Solutions,Service Supervisor Solution,https://www.shl.com/products/product-catalog/view/service-supervisor-solution/,,,"A
B
P",11,SHL Catalog
Pre-packaged Job Solutions,Stock Clerk Solution,https://www.shl.com/products/product-catalog/view/stock-clerk-solution/,,,"A
B
P",11,SHL Catalog
Pre-packaged Job Solutions,Store Manager 7.0 Solution,https://www.shl.com/products/product-catalog/view/store-manager-7-0-solution/,,,"B
C",11,SHL Catalog
Pre-packaged Job Solutions,Store Manager 7.1 (Americas),https://www.shl.com/products/product-catalog/view/store-manager-7-1-%28americas%29/,,,"B
C",11,SHL Catalog
Pre-packaged Job Solutions,Store Manager 7.1 (International),https://www.shl.com/products/product-catalog/view/store-manager-7-1-%28international%29/,,,"C
B",12,SHL Catalog
Pre-packaged Job Solutions,Store Manager Solution,https://www.shl.com/products/product-catalog/view/store-manager-solution/,,,"A
B
P",12,SHL Catalog
Pre-packaged Job Solutions,Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/supervisor-short-form/,,,S,12,SHL Catalog
Pre-packaged Job Solutions,Supervisor 7.0 Solution,https://www.shl.com/products/product-catalog/view/supervisor-7-0-solution/,,,"B
C",12,SHL Catalog
Pre-packaged Job Solutions,Supervisor 7.1 (Americas),https://www.shl.com/products/product-catalog/view/supervisor-7-1-%28americas%29/,,,"B
C
P",12,SHL Catalog
Pre-packaged Job Solutions,Supervisor 7.1 (International),https://www.shl.com/products/product-catalog/view/supervisor-7-1-%28international%29/,,,"P
C
B",12,SHL Catalog
Pre-packaged Job Solutions,Support Associate Solution,https://www.shl.com/products/product-catalog/view/support-associate-solution/,,,"A
B
P",12,SHL Catalog
Pre-packaged Job Solutions,Support Supervisor Solution,https://www.shl.com/products/product-catalog/view/support-supervisor-solution/,,,"A
P
S
B",12,SHL Catalog
Pre-packaged Job Solutions,Technical Sales Associate Solution,https://www.shl.com/products/product-catalog/view/technical-sales-associate-solution/,,,"A
B
P",12,SHL Catalog
Pre-packaged Job Solutions,Technician/Technologist Solution,https://www.shl.com/products/product-catalog/view/techniciantechnologist-solution/,,,"A
B
P",12,SHL Catalog
Pre-packaged Job Solutions,Technology Professional 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/technology-professional-8-0-job-focused-assessment/,,,"C
P",12,SHL Catalog
Pre-packaged Job Solutions,Telenurse Solution,https://www.shl.com/products/product-catalog/view/telenurse-solution/,,,"A
B
P",12,SHL Catalog
Pre-packaged Job Solutions,Teller 7.0,https://www.shl.com/products/product-catalog/view/teller-7-0/,,,"B
K
P
S",13,SHL Catalog
Pre-packaged Job Solutions,Teller with Sales - Short Form,https://www.shl.com/products/product-catalog/view/teller-with-sales-short-form/,,,"A
B
K
P
S",13,SHL Catalog
Pre-packaged Job Solutions,Transcriptionist Solution,https://www.shl.com/products/product-catalog/view/transcriptionist-solution/,,,"A
B
K
P",13,SHL Catalog
Pre-packaged Job Solutions,Workplace Safety - Individual 7.0 Solution,https://www.shl.com/products/product-catalog/view/workplace-safety-individual-7-0-solution/,,,B,13,SHL Catalog
Pre-packaged Job Solutions,Workplace Safety - Individual 7.1 (Americas),https://www.shl.com/products/product-catalog/view/workplace-safety-individual-7-1-solution/,,,B,13,SHL Catalog
Pre-packaged Job Solutions,Workplace Safety - Team 7.0 Solution,https://www.shl.com/products/product-catalog/view/workplace-safety-team-7-0-solution/,,,B,13,SHL Catalog
Pre-packaged Job Solutions,Workplace Safety - Team 7.1 (Americas),https://www.shl.com/products/product-catalog/view/workplace-safety-team-7-1-%28americas%29/,,,"B
C
P",13,SHL Catalog
Pre-packaged Job Solutions,Workplace Safety - Team 7.1 (International),https://www.shl.com/products/product-catalog/view/workplace-safety-team-7-1-solution/,,,"B
C
P",13,SHL Catalog
Pre-packaged Job Solutions,Workplace Safety Solution,https://www.shl.com/products/product-catalog/view/workplace-safety-solution/,,,"B
P",13,SHL Catalog
